input,target
action: board direction: up landmark: escalator,"Step onto the escalator going up."
action: continue distance: 48 steps,"Walk straight for 48 steps."
action: turn direction: right distance: 30 steps,"Turn right and walk for 30 steps."
action: stop landmark: Starbucks,"Stop. You have arrived at Starbucks."
action: continue distance: 12 steps,"Go straight for 12 steps."
action: turn direction: left distance: 15 steps,"Turn left and walk 15 steps."
action: continue distance: 38 steps landmark: Adidas,"Walk 38 steps straight to Adidas."
action: stop landmark: water fountain,"Stop. The water fountain is in front of you."
action: continue distance: 22 steps,"Continue forward for 22 steps."
action: turn direction: right distance: 7 steps,"Turn right and walk for 7 steps."
action: continue distance: 52 steps landmark: Gap,"Walk straight for 52 steps to reach the Gap."
action: stop landmark: mall directory,"Stop. You are at the mall directory."
action: continue distance: 19 steps,"Walk straight for 19 steps."
action: turn direction: left distance: 40 steps,"Turn left and walk 40 steps."
action: continue distance: 26 steps landmark: Lego Store,"Walk forward 26 steps to the Lego Store."
action: stop landmark: entrance,"Stop. You have reached the main entrance."
action: continue distance: 65 steps,"Continue straight for 65 steps."
action: continue distance: 10 steps,"Walk straight for 10 steps."
action: continue distance: 15 steps,"Continue straight for 15 steps."
action: continue distance: 20 steps,"Walk forward for 20 steps."
action: continue distance: 25 steps,"Continue forward for 25 steps."
action: continue distance: 30 steps,"Walk straight for 30 steps."
action: continue distance: 35 steps,"Continue straight for 35 steps."
action: continue distance: 40 steps,"Walk forward for 40 steps."
action: continue distance: 45 steps,"Continue forward for 45 steps."
action: continue distance: 50 steps,"Walk straight for 50 steps."
action: continue distance: 60 steps,"Continue straight for 60 steps."
action: turn direction: left distance: 5 steps,"Turn left and walk for 5 steps."
action: turn direction: left distance: 10 steps,"Turn left and walk for 10 steps."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: turn direction: left distance: 15 steps,"Turn left and walk for 15 steps."
action: turn direction: left distance: 18 steps,"Turn left and walk for 18 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: turn direction: left distance: 22 steps,"Turn left and walk for 22 steps."
action: turn direction: left distance: 25 steps,"Turn left and walk for 25 steps."
action: turn direction: left distance: 30 steps,"Turn left and walk for 30 steps."
action: turn direction: left distance: 35 steps,"Turn left and walk for 35 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: turn direction: right distance: 8 steps,"Turn right and walk for 8 steps."
action: turn direction: right distance: 10 steps,"Turn right and walk for 10 steps."
action: turn direction: right distance: 12 steps,"Turn right and walk for 12 steps."
action: turn direction: right distance: 15 steps,"Turn right and walk for 15 steps."
action: turn direction: right distance: 18 steps,"Turn right and walk for 18 steps."
action: turn direction: right distance: 20 steps,"Turn right and walk for 20 steps."
action: turn direction: right distance: 25 steps,"Turn right and walk for 25 steps."
action: turn direction: right distance: 30 steps,"Turn right and walk for 30 steps."
action: turn direction: right distance: 40 steps,"Turn right and walk for 40 steps."
action: continue distance: 5 steps landmark: Zara,"Continue straight for 5 steps to reach Zara."
action: continue distance: 8 steps landmark: Starbucks,"Walk straight for 8 steps to reach Starbucks."
action: continue distance: 10 steps landmark: Sephora,"Walk forward for 10 steps. Sephora is at your destination."
action: continue distance: 12 steps landmark: Apple Store,"Continue straight for 12 steps to reach the Apple Store."
action: continue distance: 15 steps landmark: Nike,"Walk straight for 15 steps. You have reached Nike."
action: continue distance: 20 steps landmark: Washroom,"Continue forward for 20 steps to reach the washroom."
action: continue distance: 7 steps landmark: Pharmacy,"Walk straight for 7 steps. You have arrived at the pharmacy."
action: continue distance: 9 steps landmark: H&M,"Walk forward for 9 steps to reach H&M."
action: continue distance: 11 steps landmark: Food Court,"Continue straight for 11 steps to enter the food court."
action: continue distance: 14 steps landmark: Bookstore,"Walk straight for 14 steps. The bookstore is directly ahead."
action: continue distance: 6 steps landmark: escalator,"Walk straight for 6 steps to reach the escalator."
action: continue distance: 13 steps landmark: elevator,"Continue forward for 13 steps to the elevator."
action: continue distance: 16 steps landmark: Uniqlo,"Walk straight for 16 steps to reach Uniqlo."
action: continue distance: 18 steps landmark: Lush,"Continue straight for 18 steps. Lush is at your destination."
action: continue distance: 22 steps landmark: GameStop,"Walk forward for 22 steps to reach GameStop."
action: board direction: up landmark: escalator,"Step onto the escalator going up."
action: board direction: down landmark: elevator,"Enter the elevator to go down."
action: stop landmark: Information Desk,"Stop here. You have reached the information desk."
action: stop landmark: stairs,"Stop here. You have reached the stairs."
action: exit direction: straight distance: 5 steps landmark: elevator,"Exit the elevator and walk straight for 5 steps."
action: turn direction: left distance: 12 steps,"Turn left and walk for 12 steps."
action: turn direction: right distance: 15 steps,"Turn right and take 15 steps."
action: turn direction: left distance: 8 steps,"Turn left and walk 8 steps."
action: turn direction: right distance: 20 steps,"Turn right and proceed for 20 steps."
action: turn direction: left distance: 14 steps,"Turn left and take 14 steps."
action: turn direction: right distance: 11 steps,"Turn right and walk for 11 steps."
action: turn direction: left distance: 19 steps,"Turn left and walk 19 steps."
action: turn direction: right distance: 7 steps,"Turn right and take 7 steps."
action: turn direction: left distance: 25 steps,"Turn left and proceed for 25 steps."
action: turn direction: right distance: 13 steps,"Turn right and walk for 13 steps."
action: turn direction: left distance: 6 steps landmark: elevator,"Turn left and walk 6 steps to the elevator."
action: turn direction: right distance: 10 steps landmark: stairs,"Turn right and walk 10 steps to the stairs."
action: turn direction: left distance: 21 steps landmark: Sephora,"Turn left and walk 21 steps to Sephora."
action: turn direction: right distance: 16 steps landmark: escalator,"Turn right and walk 16 steps to the escalator."
action: turn direction: left distance: 9 steps landmark: H&M,"Turn left and walk 9 steps to reach H&M."
action: turn direction: right distance: 12 steps landmark: washroom,"Turn right and walk 12 steps to the washroom."
action: turn direction: left distance: 5 steps landmark: Gap,"Turn left and walk 5 steps to the Gap."
action: turn direction: right distance: 18 steps landmark: elevator,"Turn right and walk 18 steps to reach the elevator."
action: turn direction: left distance: 24 steps landmark: food court,"Turn left and walk 24 steps to the food court."
action: turn direction: right distance: 15 steps landmark: stairs,"Turn right and walk 15 steps to the stairs."
action: turn direction: left distance: 10 steps,"Turn left and take 10 steps."
action: turn direction: right distance: 22 steps,"Turn right and proceed for 22 steps."
action: turn direction: left distance: 30 steps,"Turn left and walk for 30 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: turn direction: left distance: 12 steps,"Turn left and take 12 steps."
action: turn direction: right distance: 14 steps,"Turn right and walk 14 steps."
action: turn direction: left distance: 8 steps,"Turn left and proceed for 8 steps."
action: turn direction: right distance: 11 steps,"Turn right and take 11 steps."
action: turn direction: left distance: 23 steps,"Turn left and walk for 23 steps."
action: turn direction: right distance: 17 steps,"Turn right and walk 17 steps."
action: turn direction: left distance: 9 steps landmark: escalator,"Turn left and walk 9 steps to the escalator."
action: turn direction: right distance: 26 steps landmark: Uniqlo,"Turn right and walk 26 steps to Uniqlo."
action: turn direction: left distance: 13 steps landmark: elevator,"Turn left and walk 13 steps to the elevator."
action: turn direction: right distance: 28 steps landmark: bookstore,"Turn right and walk 28 steps to the bookstore."
action: turn direction: left distance: 10 steps landmark: stairs,"Turn left and walk 10 steps to the stairs."
action: turn direction: right distance: 15 steps landmark: Lush,"Turn right and walk 15 steps to Lush."
action: turn direction: left distance: 7 steps landmark: pharmacy,"Turn left and walk 7 steps to the pharmacy."
action: turn direction: right distance: 20 steps landmark: escalator,"Turn right and walk 20 steps to the escalator."
action: turn direction: left distance: 18 steps landmark: Adidas,"Turn left and walk 18 steps to Adidas."
action: turn direction: right distance: 12 steps landmark: washroom,"Turn right and walk 12 steps to the washroom."
action: turn direction: left distance: 14 steps,"Turn left and walk 14 steps."
action: turn direction: right distance: 21 steps,"Turn right and take 21 steps."
action: turn direction: left distance: 6 steps,"Turn left and proceed for 6 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk 9 steps."
action: turn direction: left distance: 25 steps,"Turn left and take 25 steps."
action: turn direction: right distance: 16 steps,"Turn right and walk for 16 steps."
action: turn direction: left distance: 11 steps,"Turn left and walk 11 steps."
action: turn direction: right distance: 22 steps,"Turn right and take 22 steps."
action: turn direction: left distance: 15 steps landmark: Lego Store,"Turn left and walk 15 steps to the Lego Store."
action: turn direction: right distance: 13 steps landmark: elevator,"Turn right and walk 13 steps to the elevator."
action: continue distance: 60 steps,"Walk straight for 60 steps."
action: continue distance: 100 steps,"Continue walking straight for 100 steps."
action: stop landmark: Zara,"Stop here. You have arrived at Zara."
action: turn direction: left distance: 45 steps,"Turn left and walk for 45 steps."
action: turn direction: right distance: 35 steps,"Turn right and walk for 35 steps."
action: continue distance: 120 steps landmark: H&M,"Walk straight for 120 steps to reach H&M."
action: stop landmark: Uniqlo,"Stop. You are at the entrance to Uniqlo."
action: continue distance: 80 steps,"Continue straight for 80 steps."
action: continue distance: 150 steps,"Take 150 steps forward."
action: stop landmark: Gap,"Stop here. You have reached the Gap."
action: turn direction: left distance: 20 steps,"Turn left and take 20 steps."
action: turn direction: right distance: 50 steps,"Turn right and walk for 50 steps."
action: stop landmark: Nike,"Stop. You have reached the Nike store."
action: continue distance: 75 steps landmark: Levi's,"Walk straight for 75 steps to reach Levi's."
action: continue distance: 110 steps,"Walk straight for 110 steps."
action: continue distance: 95 steps landmark: Adidas,"Continue forward for 95 steps to reach Adidas."
action: stop landmark: Gucci,"Stop. You have arrived at Gucci."
action: turn direction: left distance: 65 steps,"Turn left and walk for 65 steps."
action: turn direction: right distance: 85 steps,"Turn right and walk for 85 steps."
action: continue distance: 130 steps,"Continue straight for 130 steps."
action: stop landmark: Prada,"Stop here. You are at Prada."
action: continue distance: 40 steps landmark: Lululemon,"Walk 40 steps straight ahead to reach Lululemon."
action: turn direction: left distance: 15 steps,"Turn left and take 15 steps."
action: stop landmark: Old Navy,"Stop. You have reached Old Navy."
action: continue distance: 180 steps,"Continue straight for 180 steps."
action: continue distance: 55 steps landmark: Hollister,"Walk straight for 55 steps to arrive at Hollister."
action: stop landmark: Vans,"Stop here. You have reached the Vans store."
action: turn direction: right distance: 40 steps,"Turn right and walk for 40 steps."
action: continue distance: 70 steps landmark: Puma,"Walk forward for 70 steps to reach Puma."
action: stop landmark: Reebok,"Stop. You are at Reebok."
action: continue distance: 90 steps,"Walk straight for 90 steps."
action: turn direction: left distance: 55 steps,"Turn left and walk for 55 steps."
action: stop landmark: Chanel,"Stop here. You have reached Chanel."
action: continue distance: 140 steps landmark: Dior,"Walk straight for 140 steps to reach Dior."
action: turn direction: right distance: 30 steps,"Turn right and take 30 steps."
action: stop landmark: Burberry,"Stop. You have arrived at Burberry."
action: continue distance: 65 steps,"Continue straight for 65 steps."
action: stop landmark: Coach,"Stop here. You are at Coach."
action: continue distance: 115 steps landmark: Fossil,"Walk 115 steps straight to reach Fossil."
action: turn direction: left distance: 80 steps,"Turn left and walk for 80 steps."
action: continue distance: 160 steps,"Continue straight for 160 steps."
action: stop landmark: Sephora,"Stop. You have reached Sephora."
action: turn direction: right distance: 25 steps,"Turn right and take 25 steps."
action: stop landmark: Pandora,"Stop here. You are at Pandora."
action: continue distance: 50 steps landmark: Guess,"Walk straight for 50 steps to reach Guess."
action: continue distance: 125 steps,"Walk straight forward for 125 steps."
action: stop landmark: Lacoste,"Stop. You have arrived at Lacoste."
action: turn direction: left distance: 40 steps,"Turn left and walk for 40 steps."
action: stop landmark: Armani,"Stop here. You have reached Armani."
action: continue distance: 200 steps landmark: Victoria's Secret,"Walk straight for 200 steps to reach Victoria's Secret."
action: turn direction: left distance: 20 steps,"Turn all the way around to your left and walk 20 steps."
action: turn direction: right distance: 15 steps,"Make a full U-turn to your right and walk 15 steps."
action: turn direction: left distance: 30 steps landmark: washroom,"Turn 180 degrees to your left and walk 30 steps to reach the washroom."
action: turn direction: right distance: 12 steps landmark: elevator,"Make a sharp U-turn to your right and walk 12 steps to the elevator."
action: turn direction: left distance: 45 steps landmark: Zara,"Turn all the way around to your left and walk 45 steps to Zara."
action: turn direction: right distance: 8 steps landmark: escalator,"Turn around to your right and walk 8 steps to the escalator."
action: turn direction: left distance: 50 steps landmark: pharmacy,"Make a 180-degree turn to your left and walk 50 steps to the pharmacy."
action: turn direction: right distance: 22 steps landmark: stairs,"Turn all the way around to your right and walk 22 steps to the stairs."
action: turn direction: left distance: 10 steps landmark: Sephora,"Make a sharp U-turn to your left and walk 10 steps to reach Sephora."
action: turn direction: right distance: 35 steps landmark: food court,"Turn around to your right and walk 35 steps to the food court."
action: turn direction: left distance: 18 steps,"Make a 180-degree turn to your left and continue for 18 steps."
action: turn direction: right distance: 28 steps,"Turn all the way around to your right and walk 28 steps."
action: turn direction: left distance: 5 steps landmark: elevator,"Make a sharp U-turn to your left and walk 5 steps to the elevator."
action: turn direction: right distance: 40 steps landmark: Apple Store,"Turn 180 degrees to your right and walk 40 steps to the Apple Store."
action: turn direction: left distance: 14 steps landmark: stairs,"Turn all the way around to your left and walk 14 steps to the stairs."
action: turn direction: right distance: 60 steps landmark: H&M,"Make a full U-turn to your right and walk 60 steps to reach H&M."
action: turn direction: left distance: 33 steps landmark: escalator,"Turn around to your left and walk 33 steps to the escalator."
action: turn direction: right distance: 11 steps landmark: cinema,"Turn 180 degrees to your right and walk 11 steps to the cinema."
action: turn direction: left distance: 25 steps landmark: Nike,"Make a sharp U-turn to your left and walk 25 steps to Nike."
action: turn direction: right distance: 19 steps landmark: ATM,"Turn all the way around to your right and walk 19 steps to the ATM."
action: turn direction: left distance: 42 steps,"Make a 180-degree turn to your left and walk 42 steps."
action: turn direction: right distance: 7 steps landmark: washroom,"Turn around to your right and walk 7 steps to the washroom."
action: turn direction: left distance: 16 steps landmark: elevator,"Turn 180 degrees to your left and walk 16 steps to the elevator."
action: turn direction: right distance: 55 steps landmark: Uniqlo,"Make a full U-turn to your right and walk 55 steps to Uniqlo."
action: turn direction: left distance: 9 steps landmark: escalator,"Turn all the way around to your left and walk 9 steps to the escalator."
action: turn direction: right distance: 31 steps landmark: Starbucks,"Make a sharp U-turn to your right and walk 31 steps to Starbucks."
action: turn direction: left distance: 27 steps landmark: stairs,"Turn around to your left and walk 27 steps to the stairs."
action: turn direction: right distance: 48 steps landmark: Lego Store,"Turn 180 degrees to your right and walk 48 steps to the Lego Store."
action: turn direction: left distance: 13 steps landmark: customer service,"Turn all the way around to your left and walk 13 steps to customer service."
action: turn direction: right distance: 21 steps landmark: pharmacy,"Make a 180-degree turn to your right and walk 21 steps to the pharmacy."
action: turn direction: left distance: 37 steps,"Make a full U-turn to your left and continue for 37 steps."
action: turn direction: right distance: 4 steps landmark: elevator,"Turn around to your right and walk 4 steps to the elevator."
action: turn direction: left distance: 29 steps landmark: Adidas,"Turn 180 degrees to your left and walk 29 steps to reach Adidas."
action: turn direction: right distance: 17 steps landmark: escalator,"Turn all the way around to your right and walk 17 steps to the escalator."
action: turn direction: left distance: 52 steps landmark: food court,"Make a sharp U-turn to your left and walk 52 steps to the food court."
action: turn direction: right distance: 24 steps landmark: stairs,"Turn around to your right and walk 24 steps to the stairs."
action: turn direction: left distance: 6 steps landmark: washroom,"Make a 180-degree turn to your left and walk 6 steps to the washroom."
action: turn direction: right distance: 39 steps landmark: Lush,"Turn all the way around to your right and walk 39 steps to Lush."
action: turn direction: left distance: 15 steps landmark: elevator,"Make a full U-turn to your left and walk 15 steps to the elevator."
action: turn direction: right distance: 44 steps landmark: Gap,"Turn 180 degrees to your right and walk 44 steps to the Gap."
action: turn direction: left distance: 22 steps landmark: escalator,"Turn around to your left and walk 22 steps to the escalator."
action: turn direction: right distance: 3 steps landmark: stairs,"Make a sharp U-turn to your right and walk 3 steps to the stairs."
action: turn direction: left distance: 58 steps landmark: supermarket,"Turn all the way around to your left and walk 58 steps to the supermarket."
action: turn direction: right distance: 32 steps landmark: bookstore,"Make a 180-degree turn to your right and walk 32 steps to the bookstore."
action: turn direction: left distance: 26 steps landmark: elevator,"Turn around to your left and walk 26 steps to the elevator."
action: turn direction: right distance: 12 steps landmark: washroom,"Turn 180 degrees to your right and walk 12 steps to the washroom."
action: turn direction: left distance: 41 steps landmark: GameStop,"Make a full U-turn to your left and walk 41 steps to GameStop."
action: turn direction: right distance: 20 steps landmark: escalator,"Turn all the way around to your right and walk 20 steps to the escalator."
action: turn direction: left distance: 34 steps landmark: stairs,"Make a sharp U-turn to your left and walk 34 steps to the stairs."
action: turn direction: right distance: 47 steps landmark: jewelry store,"Turn around to your right and walk 47 steps to the jewelry store."
action: turn direction: right distance: 5 steps,"Turn right and walk for 5 steps."
action: turn direction: right distance: 10 steps,"Turn right and walk 10 steps."
action: turn direction: right distance: 8 steps,"Stop and turn right, then walk 8 steps."
action: turn direction: right distance: 12 steps,"Make a right turn and walk 12 steps."
action: turn direction: right distance: 15 steps,"Turn right and continue straight for 15 steps."
action: turn direction: right distance: 7 steps,"Turn right and take 7 steps."
action: turn direction: right distance: 20 steps,"Stop and turn right, then walk for 20 steps."
action: turn direction: right distance: 6 steps,"Turn right and walk 6 steps."
action: turn direction: right distance: 9 steps,"Turn right and take 9 steps."
action: turn direction: right distance: 11 steps,"Make a right turn and walk for 11 steps."
action: turn direction: right distance: 14 steps landmark: elevator,"Turn right and walk 14 steps to the elevator."
action: turn direction: right distance: 13 steps landmark: escalator,"Turn right and walk 13 steps to reach the escalator."
action: turn direction: right distance: 16 steps landmark: stairs,"Turn right and walk 16 steps to the stairs."
action: turn direction: right distance: 18 steps landmark: washroom,"Turn right and walk 18 steps to the washroom."
action: turn direction: right distance: 22 steps landmark: pharmacy,"Stop and turn right, then walk 22 steps to the pharmacy."
action: turn direction: right distance: 25 steps landmark: Zara,"Turn right and walk 25 steps to Zara."
action: turn direction: right distance: 30 steps landmark: H&M,"Turn right and walk 30 steps to H&M."
action: turn direction: right distance: 19 steps landmark: Apple Store,"Turn right and walk 19 steps to the Apple Store."
action: turn direction: right distance: 17 steps landmark: Sephora,"Turn right and walk 17 steps to Sephora."
action: turn direction: right distance: 21 steps landmark: Nike,"Turn right and walk 21 steps to Nike."
action: turn direction: right distance: 24 steps landmark: Uniqlo,"Turn right and walk 24 steps to reach Uniqlo."
action: turn direction: right distance: 26 steps landmark: food court,"Turn right and walk 26 steps to the food court."
action: turn direction: right distance: 35 steps landmark: cinema,"Turn right and walk 35 steps to the cinema."
action: turn direction: right distance: 28 steps landmark: Lego Store,"Turn right and walk 28 steps to the Lego Store."
action: turn direction: right distance: 32 steps landmark: Starbucks,"Turn right and walk 32 steps to Starbucks."
action: turn direction: right distance: 33 steps landmark: bookstore,"Stop and turn right, then walk 33 steps to the bookstore."
action: turn direction: right distance: 34 steps landmark: toy store,"Turn right and walk 34 steps to the toy store."
action: turn direction: right distance: 36 steps landmark: jewelry store,"Turn right and walk 36 steps to the jewelry store."
action: turn direction: right distance: 40 steps landmark: department store,"Turn right and walk 40 steps to the department store."
action: turn direction: right distance: 45 steps landmark: exit,"Turn right and walk 45 steps to the exit."
action: turn direction: right distance: 23 steps landmark: bank,"Turn right and walk 23 steps to the bank."
action: turn direction: right distance: 27 steps landmark: restroom,"Turn right and walk 27 steps to the restroom."
action: turn direction: right distance: 29 steps landmark: clinic,"Turn right and walk 29 steps to the clinic."
action: turn direction: right distance: 31 steps landmark: Adidas,"Stop and turn right, then walk 31 steps to Adidas."
action: turn direction: right distance: 37 steps landmark: IKEA,"Turn right and walk 37 steps to IKEA."
action: turn direction: right distance: 38 steps landmark: Gap,"Turn right and walk 38 steps to Gap."
action: turn direction: right distance: 39 steps landmark: Lush,"Turn right and walk 39 steps to Lush."
action: turn direction: right distance: 41 steps landmark: GameStop,"Turn right and walk 41 steps to GameStop."
action: turn direction: right distance: 42 steps landmark: Disney Store,"Turn right and walk 42 steps to the Disney Store."
action: turn direction: right distance: 43 steps landmark: Foot Locker,"Turn right and walk 43 steps to Foot Locker."
action: turn direction: right distance: 44 steps landmark: elevator,"Turn right and walk 44 steps to reach the elevator."
action: turn direction: right distance: 46 steps landmark: escalator,"Turn right and walk 46 steps to reach the escalator."
action: turn direction: right distance: 47 steps landmark: stairs,"Turn right and walk 47 steps to the stairs."
action: turn direction: right distance: 48 steps landmark: washroom,"Turn right and walk 48 steps to the washroom."
action: turn direction: right distance: 49 steps landmark: pharmacy,"Stop and turn right, then walk 49 steps to the pharmacy."
action: turn direction: right distance: 51 steps landmark: Zara,"Turn right and walk 51 steps to reach Zara."
action: turn direction: right distance: 52 steps landmark: H&M,"Turn right and walk 52 steps to reach H&M."
action: turn direction: right distance: 53 steps landmark: Apple Store,"Turn right and walk 53 steps to the Apple Store."
action: turn direction: right distance: 54 steps landmark: Sephora,"Turn right and walk 54 steps to reach Sephora."
action: turn direction: right distance: 55 steps landmark: Nike,"Turn right and walk 55 steps to Nike."
action: continue distance: 25 steps,"Walk straight for 25 steps."
action: turn direction: left distance: 10 steps,"Turn left and walk for 10 steps."
action: stop landmark: accessible restroom,"Stop. You have reached the accessible restroom."
action: continue distance: 40 steps,"Continue forward for 40 steps."
action: turn direction: right distance: 15 steps,"Turn right and take 15 steps."
action: continue distance: 30 steps landmark: washroom,"Continue straight for 30 steps to the washroom."
action: stop landmark: restroom,"Stop here. You have arrived at the restroom."
action: turn direction: left distance: 5 steps,"Turn left and walk 5 steps."
action: continue distance: 12 steps,"Walk straight for 12 steps."
action: stop landmark: accessible restroom,"You have arrived at the accessible restroom."
action: continue distance: 50 steps,"Take 50 steps forward."
action: turn direction: right distance: 20 steps,"Turn right and walk for 20 steps."
action: continue distance: 18 steps landmark: accessible restroom,"Continue for 18 steps to reach the accessible restroom."
action: turn direction: left distance: 8 steps,"Turn left and walk for 8 steps."
action: continue distance: 35 steps,"Walk forward for 35 steps."
action: stop landmark: washroom,"Stop. The washroom is directly in front of you."
action: turn direction: right distance: 12 steps,"Turn right and walk for 12 steps."
action: continue distance: 22 steps,"Continue straight for 22 steps."
action: stop landmark: accessible restroom,"You have reached the accessible restroom."
action: turn direction: left distance: 30 steps,"Turn left and walk for 30 steps."
action: continue distance: 10 steps landmark: restroom,"Walk 10 steps forward to the restroom."
action: turn direction: right distance: 6 steps,"Turn right and take 6 steps."
action: continue distance: 45 steps,"Walk straight for 45 steps."
action: stop landmark: washroom,"Arrived at the washroom."
action: continue distance: 7 steps,"Take 7 steps forward."
action: turn direction: left distance: 25 steps,"Turn left and walk for 25 steps."
action: stop landmark: accessible restroom,"Stop. The accessible restroom is on your left."
action: continue distance: 55 steps,"Walk forward for 55 steps."
action: turn direction: right distance: 9 steps,"Turn right and walk 9 steps."
action: continue distance: 14 steps landmark: washroom,"Continue 14 steps to reach the washroom."
action: stop landmark: accessible restroom,"Stop. You are at the entrance to the accessible restroom."
action: turn direction: left distance: 18 steps,"Turn left and walk for 18 steps."
action: continue distance: 42 steps,"Walk straight for 42 steps."
action: stop landmark: restroom,"You have arrived at the restroom."
action: turn direction: right distance: 4 steps,"Turn right and take 4 steps."
action: continue distance: 28 steps,"Continue forward for 28 steps."
action: turn direction: left distance: 22 steps,"Turn left and walk for 22 steps."
action: stop landmark: accessible restroom,"Stop. You have reached the accessible restroom."
action: continue distance: 15 steps,"Walk straight for 15 steps."
action: turn direction: right distance: 33 steps,"Turn right and walk for 33 steps."
action: stop landmark: washroom,"You have reached the washroom."
action: continue distance: 6 steps,"Take 6 steps forward."
action: turn direction: left distance: 40 steps,"Turn left and walk for 40 steps."
action: stop landmark: accessible restroom,"Arrived at the accessible restroom."
action: continue distance: 50 steps landmark: restroom,"Continue straight for 50 steps to reach the restroom."
action: turn direction: right distance: 11 steps,"Turn right and walk for 11 steps."
action: continue distance: 19 steps,"Walk forward for 19 steps."
action: stop landmark: washroom,"Stop. You are at the washroom."
action: turn direction: left distance: 13 steps,"Turn left and walk for 13 steps."
action: continue distance: 3 steps landmark: accessible restroom,"Walk 3 steps forward to the accessible restroom."
action: continue direction: straight distance: 5 steps landmark: mall management office,"Walk straight for 5 steps to the mall management office."
action: continue direction: straight distance: 6 steps landmark: mall management office,"Go straight for 6 steps to the mall management office."
action: continue direction: straight distance: 7 steps landmark: mall management office,"Continue straight for 7 steps to reach the mall management office."
action: continue direction: straight distance: 8 steps landmark: mall management office,"Walk forward 8 steps. The mall management office is directly ahead."
action: continue direction: straight distance: 9 steps landmark: mall management office,"Proceed straight for 9 steps to the mall management office."
action: continue direction: straight distance: 10 steps landmark: mall management office,"Move forward 10 steps to reach the mall management office."
action: continue direction: straight distance: 11 steps landmark: mall management office,"Walk 11 steps straight to the mall management office."
action: continue direction: straight distance: 12 steps landmark: mall management office,"Go forward 12 steps. The mall management office is in front of you."
action: continue direction: straight distance: 13 steps landmark: mall management office,"Continue straight for 13 steps until you reach the mall management office."
action: continue direction: straight distance: 14 steps landmark: mall management office,"Walk straight for 14 steps to the mall management office."
action: continue direction: straight distance: 15 steps landmark: mall management office,"Go straight for 15 steps. The mall management office is ahead."
action: continue direction: straight distance: 16 steps landmark: mall management office,"Proceed straight for 16 steps to reach the mall management office."
action: continue direction: straight distance: 17 steps landmark: mall management office,"Walk forward for 17 steps to the mall management office."
action: continue direction: straight distance: 18 steps landmark: mall management office,"Move straight for 18 steps. You are approaching the mall management office."
action: continue direction: straight distance: 19 steps landmark: mall management office,"Walk 19 steps forward to reach the mall management office."
action: continue direction: straight distance: 20 steps landmark: mall management office,"Continue straight for 20 steps. The mall management office is directly in front of you."
action: continue direction: straight distance: 21 steps landmark: mall management office,"Go straight for 21 steps to reach the mall management office."
action: continue direction: straight distance: 22 steps landmark: mall management office,"Walk straight for 22 steps to the mall management office."
action: continue direction: straight distance: 23 steps landmark: mall management office,"Proceed forward for 23 steps to the mall management office."
action: continue direction: straight distance: 24 steps landmark: mall management office,"Walk 24 steps straight. The mall management office is ahead."
